Date,Open,High,Low,Close,Volume,return,target,next_day_abs_return,target_vol
2015-01-05,154.63999938964844,154.8800048828125,150.32000732421875,150.32000732421875,3937438,-0.055304097932430185,0,0.03938273775470058,1
2015-01-06,148.47999572753906,149.60000610351562,144.0,144.39999389648438,5279375,-0.03938273775470058,1,0.01772862136834985,1
2015-01-07,146.39999389648438,149.1999969482422,144.39999389648438,146.9600067138672,3916575,0.01772862136834985,1,0.009798496984426919,0
2015-01-08,146.24000549316406,148.72000122070312,144.47999572753906,148.39999389648438,3338188,0.009798496984426919,0,0.014555178518585343,1
2015-01-09,147.1999969482422,148.0,142.8800048828125,146.24000549316406,3312775,-0.014555178518585343,0,0.04759304193401803,1
2015-01-12,142.0800018310547,142.0800018310547,139.1199951171875,139.27999877929688,3845300,-0.04759304193401803,1,0.012062090388387015,0
2015-01-13,138.0,141.83999633789062,136.8000030517578,140.9600067138672,4125963,0.012062090388387015,1,0.03688987443649605,1
2015-01-14,139.60000610351562,147.83999633789062,138.16000366210938,146.16000366210938,5296163,0.03688987443649605,0,0.04488230291618667,1
2015-01-15,148.32000732421875,148.8800048828125,139.36000061035156,139.60000610351562,6261588,-0.04488230291618667,1,0.050429749128467316,1
2015-01-16,141.9199981689453,147.67999267578125,141.75999450683594,146.63999938964844,4717325,0.050429749128467316,0,0.04637208865289888,1
2015-01-20,141.36000061035156,142.8000030517578,138.8000030517578,139.83999633789062,3563363,-0.04637208865289888,1,0.016590441826192626,1
2015-01-21,141.75999450683594,144.24000549316406,140.8000030517578,142.16000366210938,2957988,0.016590441826192626,0,0.020258897078096583,1
2015-01-22,142.72000122070312,143.52000427246094,137.27999877929688,139.27999877929688,4722638,-0.020258897078096583,0,0.023549675531620018,1
2015-01-23,137.44000244140625,139.75999450683594,135.67999267578125,136.0,4067663,-0.023549675531620018,0,0.007647009456858922,0
2015-01-26,136.0,138.8000030517578,134.8800048828125,134.9600067138672,3548138,-0.007647009456858922,1,0.02015401471993683,1
2015-01-27,135.36000061035156,139.27999877929688,135.1999969482422,137.67999267578125,2901325,0.02015401471993683,0,0.03776871894878375,1
2015-01-28,135.67999267578125,136.72000122070312,132.0,132.47999572753906,5010625,-0.03776871894878375,1,0.007246427723635707,0
2015-01-29,134.39999389648438,134.47999572753906,130.39999389648438,133.44000244140625,3577388,0.007246427723635707,1,0.06834528589874767,1
2015-01-30,133.9199981689453,144.55999755859375,133.83999633789062,142.55999755859375,5995188,0.06834528589874767,1,0.044893443216025286,1
2015-02-02,147.1999969482422,149.60000610351562,143.44000244140625,148.9600067138672,5189975,0.044893443216025286,1,0.053705690382835236,1
2015-02-03,151.60000610351562,162.32000732421875,150.8800048828125,156.9600067138672,9557625,0.053705690382835236,0,0.068297660309389,1
2015-02-04,152.63999938964844,152.8000030517578,143.60000610351562,146.24000549316406,8318588,-0.068297660309389,1,0.0410284448483591,1
2015-02-05,147.9199981689453,155.83999633789062,147.83999633789062,152.24000549316406,6273275,0.0410284448483591,1,0.02312131428443709,1
2015-02-06,153.44000244140625,159.0399932861328,152.8800048828125,155.75999450683594,5191263,0.02312131428443709,1,0.015408379814549233,1
2015-02-09,158.24000549316406,161.44000244140625,157.44000244140625,158.16000366210938,4354900,0.015408379814549233,0,0.04198279739442867,1
2015-02-10,156.72000122070312,156.8000030517578,149.36000061035156,151.52000427246094,4217725,-0.04198279739442867,0,0.022703288967841462,1
2015-02-11,147.9199981689453,149.67999267578125,144.0800018310547,148.0800018310547,4519538,-0.022703288967841462,1,0.036196654133397566,1
2015-02-12,152.32000732421875,154.47999572753906,149.1999969482422,153.44000244140625,3990525,0.036196654133397566,1,0.022940590566042918,1
2015-02-13,157.83999633789062,159.75999450683594,155.67999267578125,156.9600067138672,3862988,0.022940590566042918,1,0.008664631448638938,0
2015-02-17,155.0399932861328,161.52000427246094,151.9199981689453,158.32000732421875,3811400,0.008664631448638938,0,0.026781236085222537,1
2015-02-18,156.39999389648438,158.63999938964844,153.36000061035156,154.0800018310547,3145075,-0.026781236085222537,0,0.008307364772103032,0
2015-02-19,147.60000610351562,155.0399932861328,147.1199951171875,152.8000030517578,6027513,-0.008307364772103032,0,0.023560248898006897,1
2015-02-20,152.55999755859375,153.36000061035156,149.1199951171875,149.1999969482422,3568038,-0.023560248898006897,0,0.02895437100396392,1
2015-02-23,145.36000061035156,148.72000122070312,144.16000366210938,144.8800048828125,6229325,-0.02895437100396392,0,0.003865250826342148,0
2015-02-24,147.27999877929688,147.75999450683594,144.16000366210938,144.32000732421875,2277100,-0.003865250826342148,1,0.03381367361671761,1
2015-02-25,145.1999969482422,150.39999389648438,142.55999755859375,149.1999969482422,4786513,0.03381367361671761,0,0.033243911236799484,1
2015-02-26,146.24000549316406,147.44000244140625,140.63999938964844,144.24000549316406,5014588,-0.033243911236799484,1,0.003882401118046941,0
2015-02-27,144.8800048828125,146.8000030517578,142.55999755859375,144.8000030517578,3558788,0.003882401118046941,1,0.012154657940213198,0
2015-03-02,145.0399932861328,150.0800018310547,144.16000366210938,146.55999755859375,2988463,0.012154657940213198,1,0.009279480301627618,0
2015-03-03,146.55999755859375,149.36000061035156,145.44000244140625,147.9199981689453,2859313,0.009279480301627618,1,0.028123335002736116,1
2015-03-04,149.67999267578125,152.8000030517578,145.9199981689453,152.0800018310547,4095288,0.028123335002736116,0,0.015781227816788146,1
2015-03-05,150.72000122070312,152.8000030517578,148.8800048828125,149.67999267578125,2845650,-0.015781227816788146,0,0.02512022107711076,1
2015-03-06,147.27999877929688,148.39999389648438,143.75999450683594,145.9199981689453,3432000,-0.02512022107711076,1,0.0060307352923183455,0
2015-03-09,145.44000244140625,149.1199951171875,145.1199951171875,146.8000030517578,2466125,0.0060307352923183455,0,0.023978230240362275,1
2015-03-10,144.72000122070312,145.9199981689453,141.9199981689453,143.27999877929688,3344225,-0.023978230240362275,0,0.007816828076001703,0
2015-03-11,142.72000122070312,142.8000030517578,139.52000427246094,142.16000366210938,3726263,-0.007816828076001703,0,0.018570619876482786,1
2015-03-12,142.16000366210938,142.47999572753906,138.72000122070312,139.52000427246094,2975613,-0.018570619876482786,0,0.03669732095175382,1
2015-03-13,137.1999969482422,137.36000061035156,133.36000061035156,134.39999389648438,5575763,-0.03669732095175382,0,0.026785647382538524,1
2015-03-16,131.75999450683594,131.9199981689453,128.0,130.8000030517578,4962713,-0.026785647382538524,0,0.02385323145097662,1
2015-03-17,128.39999389648438,129.9199981689453,127.19999694824219,127.68000030517578,3909250,-0.02385323145097662,1,0.05012532511420642,1
2015-03-18,125.44000244140625,134.24000549316406,124.87999725341797,134.0800018310547,6803463,0.05012532511420642,0,0.040572810017267424,1
2015-03-19,127.5199966430664,130.72000122070312,127.27999877929688,128.63999938964844,4052600,-0.040572810017267424,1,0.02176619298074356,1
2015-03-20,132.39999389648438,134.39999389648438,131.0399932861328,131.44000244140625,3674463,0.02176619298074356,1,0.02130251825737761,1
2015-03-23,131.67999267578125,135.0399932861328,131.52000427246094,134.24000549316406,2645050,0.02130251825737761,1,0.0005959611723851399,0
2015-03-24,135.75999450683594,136.0800018310547,133.67999267578125,134.32000732421875,2656113,0.0005959611723851399,1,0.03394875900793348,1
2015-03-25,136.39999389648438,140.24000549316406,134.32000732421875,138.8800048828125,3994238,0.03394875900793348,1,0.04896304402283547,1
2015-03-26,143.44000244140625,146.39999389648438,141.1999969482422,145.67999267578125,5439213,0.04896304402283547,0,0.05875890986378951,1
2015-03-27,143.27999877929688,143.27999877929688,136.9600067138672,137.1199951171875,3954138,-0.05875890986378951,1,0.005250884235284525,0
2015-03-30,138.39999389648438,139.36000061035156,135.0399932861328,137.83999633789062,3259450,0.005250884235284525,0,0.022634904237369358,1
2015-03-31,135.9199981689453,137.9199981689453,134.32000732421875,134.72000122070312,2884625,-0.022634904237369358,1,0.04394297888438237,1
2015-04-01,136.0,143.0399932861328,135.44000244140625,140.63999938964844,4369238,0.04394297888438237,0,0.0011376824715852996,0
2015-04-02,138.9600067138672,141.44000244140625,136.47999572753906,140.47999572753906,4674100,-0.0011376824715852996,1,0.04954446843354199,1
